#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6978.136      0.000      0.000     -0.000   7557.865      0.000   0.000000000     0.0000000      6978.1363     180.00000     -57.29578  180.0000000   6.03935e+11     5.5534e-13   1.9175e+13  -7116.30   3009.48  22679.06    0.16755032
      0.006944444    0.0000000   5555.828   4222.222      0.000  -4572.995   6017.395      0.000   0.000000002     0.0000000      6978.1363     176.94884     -57.29578  214.1823198   4.46677e+11     2.8500e-13   1.0016e+13  -4150.77  -7446.44  20561.19    0.15504039
      0.013888889    0.0000000   1868.704   6723.268      0.000  -7281.823   2023.952      0.000   0.000000003     0.0000000      6978.1363     158.33211     -57.29578  232.7990603   3.94634e+11     1.5762e-13   5.4819e+12   6960.81   1469.66  19499.73    0.13938485
      0.020833333    0.0000000  -2580.192   6483.594      0.000  -7022.238  -2794.549      0.000   0.000000004     0.0000000      6978.1362     139.71536     -57.29578  251.4157948   3.28492e+11     1.5156e-13   5.2223e+12  -1291.09   9802.17  20954.97    0.16243047
      0.027777778    0.0000000  -5977.280   3600.903      0.000  -3900.059  -6473.861      0.000   0.000000005     0.0000000      6978.1362     121.09862     -57.29578  270.0325279   2.17402e+11     1.3398e-13   4.5875e+12  -6964.86   4851.87  23417.80    0.17553704
      0.034722222    0.0000000  -6937.749   -749.685      0.000    811.968  -7514.123      0.000   0.000000005     0.0000000      6978.1362     102.48188     -57.29578  288.6492636   1.52955e+11     1.2427e-13   4.1797e+12  -9494.78   1299.03  27387.87    0.20388470
      0.041666667    0.0000000  -5070.065  -4794.667      0.000   5192.998  -5491.275      0.000   0.000000004     0.0000000      6978.1362      83.86513     -57.29578  307.2659949   3.72544e+11     2.2084e-13   7.5897e+12  -7408.55  -6895.69  29661.56    0.22092091
      0.048611111    0.0000000  -1135.584  -6885.117      0.000   7457.118  -1229.926      0.000   0.000000004     0.0000000      6978.1362      65.24838     -57.29578  325.8827268   7.10537e+11     4.0377e-13   1.3991e+13    638.54  -8761.60  27958.74    0.20607217
      0.055555556    0.0000000   3261.814  -6168.870      0.000   6681.367   3532.799      0.000   0.000000002     0.0000000      6978.1361      46.63165     -57.29578  344.4994665   8.84318e+11     5.9606e-13   2.0648e+13   5445.65   -654.89  25667.31    0.18226475
      0.062500000    0.0000000   6329.543  -2937.902      0.000   3181.977   6855.389      0.000   0.000000001     0.0000000      6978.1361      28.01491     -57.29578    3.1162096   7.05694e+11     6.7509e-13   2.3236e+13    580.05   4298.20  24068.44    0.16989977
      0.069444444    0.0000000   6817.053   1490.693      0.000  -1614.537   7383.400      0.000   0.000000001     0.0000000      6978.1361     170.60181     -57.29578  201.7329700   6.74225e+11     4.6660e-13   1.6207e+13  -5948.46   2535.58  23075.72    0.16684827
      0.076388889    0.0000000   4525.612   5311.611      0.000  -5752.890   4901.591      0.000   0.000000002     0.0000000      6978.1361     170.78143     -57.29578  220.3496900   4.19973e+11     2.2430e-13   7.8919e+12  -5467.47  -7264.59  21409.74    0.16391679
      0.083333333    0.0000000    389.319   6967.267      0.000  -7546.094    421.663      0.000   0.000000003     0.0000000      6978.1360     152.16470     -57.29578  238.9664340   4.03795e+11     1.5018e-13   5.1960e+12   6419.31  -1609.00  19619.68    0.13857903
      0.090277778    0.0000000  -3905.679   5782.738      0.000  -6263.156  -4230.155      0.000   0.000000004     0.0000000      6978.1360     133.54794     -57.29578  257.5831556   2.89577e+11     1.4991e-13   5.1571e+12  -1550.09   9138.27  20151.65    0.15400594
      0.097222222    0.0000000  -6608.539   2240.892      0.000  -2427.061  -7157.563      0.000   0.000000005     0.0000000      6978.1360     114.93120     -57.29578  276.1998890   1.82543e+11     1.2289e-13   4.1646e+12  -8795.29   3706.99  22434.14    0.17178757
      0.104166667    0.0000000  -6617.447  -2214.446      0.000   2398.418  -7167.212      0.000   0.000000005     0.0000000      6978.1360      96.31445     -57.29578  294.8166219   1.76948e+11     1.3961e-13   4.6961e+12  -8394.30   -647.63  25833.01    0.19097841
      0.111111111    0.0000000  -3928.773  -5767.072      0.000   6246.189  -4255.168      0.000   0.000000004     0.0000000      6978.1360      77.69771     -57.29578  313.4333594   4.98276e+11     2.7450e-13   9.4729e+12  -6669.31  -8130.88  29348.18    0.21965724
      0.118055556    0.0000000    361.453  -6968.768      0.000   7547.720    391.482      0.000   0.000000003     0.0000000      6978.1359      59.08097     -57.29578  332.0501037   9.48581e+11     4.6463e-13   1.6092e+13   1473.91  -9228.66  28849.35    0.21364875
      0.125000000    0.0000000   4504.335  -5329.667      0.000   5772.445   4878.546      0.000   0.000000002     0.0000000      6978.1359      40.46424     -57.29578  350.6668543   8.36083e+11     6.4542e-13   2.2303e+13   6629.65  -1618.52  26389.66    0.19004055
      0.131944444    0.0000000   6811.037  -1517.943      0.000   1644.051   7376.885      0.000   0.000000001     0.0000000      6978.1359      21.84753     -57.29578    9.2836281   6.53070e+11     6.3382e-13   2.1791e+13    879.52   4110.84  24623.46    0.17357121
      0.138888889    0.0000000   6341.241   2912.566      0.000  -3154.536   6868.059      0.000   0.000000001     0.0000000      6978.1359     176.76929     -57.29578  207.9002820   6.71991e+11     3.7554e-13   1.3137e+13  -5030.05   2123.55  23361.15    0.16670872
      0.145833333    0.0000000   3286.457   6155.776      0.000  -6667.186   3559.489      0.000   0.000000002     0.0000000      6978.1359     164.61399     -57.29578  226.5170473   4.89712e+11     1.8419e-13   6.4616e+12  -5596.77  -6485.49  22227.70    0.16739162
      0.152777778    0.0000000  -1108.042   6889.603      0.000  -7461.977  -1200.096      0.000   0.000000004     0.0000000      6978.1358     145.99724     -57.29578  245.1337792   3.11501e+11     1.5078e-13   5.2026e+12   5998.60  -4662.39  20058.58    0.14671648
      0.159722222    0.0000000  -5050.850   4814.903      0.000  -5214.916  -5470.465      0.000   0.000000004     0.0000000      6978.1358     127.38051     -57.29578  263.7505296   2.13933e+11     1.4323e-13   4.9124e+12   -597.29   8072.57  19634.19    0.14472467
      0.166666667    0.0000000  -6934.695    777.422      0.000   -842.009  -7510.816      0.000   0.000000005     0.0000000      6978.1358     108.76376     -57.29578  282.3672585   1.53258e+11     1.1678e-13   3.9111e+12  -9640.39   2677.52  21585.29    0.16733246
      0.173611111    0.0000000  -5991.632  -3576.972      0.000   3874.140  -6489.405      0.000   0.000000005     0.0000000      6978.1358      90.14703     -57.29578  300.9840034   2.34019e+11     1.6911e-13   5.7243e+12  -7353.20  -3108.52  24332.79    0.18035095
      0.180555556    0.0000000  -2606.097  -6473.224      0.000   7011.008  -2822.607      0.000   0.000000004     0.0000000      6978.1358      71.53029     -57.29578  319.6007440   6.28255e+11     3.3267e-13   1.1498e+13  -5537.58  -8634.41  28385.20    0.21232399
      0.187500000    0.0000000   1841.805  -6730.686      0.000   7289.858   1994.818      0.000   0.000000003     0.0000000      6978.1357      52.91355     -57.29578  338.2174955   1.10982e+12     5.2507e-13   1.8174e+13   2896.12  -9305.79  29486.99    0.21890039
      0.194444444    0.0000000   5538.901  -4244.403      0.000   4597.020   5999.062      0.000   0.000000002     0.0000000      6978.1357      34.29682     -57.29578  356.8342376   7.78440e+11     6.7278e-13   2.3168e+13   7780.91  -2234.67  27266.83    0.19940870
      0.201388889    0.0000000   6978.080    -27.902      0.000     30.220   7557.805      0.000   0.000000000     0.0000000      6978.1357      15.68281     -57.29578   15.4537180   7.18545e+11     5.6131e-13   1.9342e+13   1570.18   4449.80  25213.25    0.17806507
      0.208333333    0.0000000   5572.665   4199.973      0.000  -4548.899   6035.632      0.000   0.000000002     0.0000000      6978.1357     177.06330     -57.29578  214.0676864   6.19796e+11     2.9486e-13   1.0374e+13  -4294.24   1956.38  23721.63    0.16796574
      0.215277778    0.0000000   1895.570   6715.742      0.000  -7273.673   2053.051      0.000   0.000000003     0.0000000      6978.1356     158.44657     -57.29578  232.6844362   4.45446e+11     1.6271e-13   5.6800e+12  -4958.10  -5458.68  22809.90    0.16738327
      0.222222222    0.0000000  -2554.248   6493.858      0.000  -7033.355  -2766.451      0.000   0.000000004     0.0000000      6978.1356     139.82983     -57.29578  251.3011821   2.16496e+11     1.5335e-13   5.2877e+12   5531.96  -6825.98  20781.13    0.15794069
      0.229166667    0.0000000  -5962.835   3624.772      0.000  -3925.911  -6458.216      0.000   0.000000005     0.0000000      6978.1356     121.21310     -57.29578  269.9179290   1.70011e+11     1.3284e-13   4.5282e+12   1584.31   6646.10  19499.34    0.13824475
      0.236111111    0.0000000  -6940.690   -721.942      0.000    781.919  -7517.309      0.000   0.000000005     0.0000000      6978.1356     102.59635     -57.29578  288.5346624   1.47696e+11     1.1979e-13   3.9818e+12  -9604.07   1789.61  20720.57    0.16029177
      0.243055556    0.0000000  -5089.192  -4774.358      0.000   5171.003  -5511.993      0.000   0.000000004     0.0000000      6978.1356      83.97960     -57.29578  307.1514011   3.32038e+11     2.1228e-13   7.2443e+12  -6731.08  -5645.14  23121.87    0.17431984
      0.250000000    0.0000000  -1163.101  -6880.521      0.000   7452.142  -1259.729      0.000   0.000000004     0.0000000      6978.1355      65.36286     -57.29578  325.7681441   7.22901e+11     3.9222e-13   1.3559e+13  -3799.73  -8447.10  26974.94    0.20036682
      0.256944444    0.0000000   3237.126  -6181.860      0.000   6695.437   3506.060      0.000   0.000000002     0.0000000      6978.1355      46.74612     -57.29578  344.3848867   1.14650e+12     5.8269e-13   2.0144e+13   4515.37  -9216.99  29643.78    0.22112106
      0.263888889    0.0000000   6317.747  -2963.181      0.000   3209.357   6842.614      0.000   0.000000001     0.0000000      6978.1355      28.12937     -57.29578    3.0016227   7.62078e+11     6.6759e-13   2.2914e+13   8710.83  -2173.58  28215.09    0.20835737
      0.270833333    0.0000000   6822.958   1463.429      0.000  -1585.008   7389.796      0.000   0.000000000     0.0000000      6978.1355     170.48736     -57.29578  201.6183735   9.13135e+11     4.7131e-13   1.6334e+13   2759.71   5138.02  25850.15    0.18415167
      0.277777778    0.0000000   4546.809   5293.477      0.000  -5733.250   4924.549      0.000   0.000000002     0.0000000      6978.1355     170.89591     -57.29578  220.2351296   4.84375e+11     2.3240e-13   8.1934e+12  -3754.71   1982.79  24213.47    0.17081027
      0.284722222    0.0000000    417.167   6965.655      0.000  -7544.348    451.824      0.000   0.000000003     0.0000000      6978.1354     152.27917     -57.29578  238.8518645   3.73030e+11     1.5527e-13   5.3982e+12  -4129.16  -4571.22  23155.49    0.16670757
